#{"t_start": 1753906013.745462, "env_id": "None"}
r,l,t
357.86568,50,258.314308
692.310524,50,258.395299
289.773764,50,258.485298
304.459245,50,258.571302
396.212021,50,258.655302
474.160061,50,258.739301
498.443549,50,258.821301
243.383345,50,258.926297
397.846868,50,259.034302
452.600822,50,259.121302
615.556861,50,259.205301
357.216993,50,259.296301
469.48325,50,259.384297
587.306334,50,259.484298
372.324515,50,259.579301
176.713096,50,259.682301
579.34162,50,262.925298
527.493412,50,263.029299
630.141854,50,263.130303
580.032982,50,263.223309
375.377008,50,263.343303
435.391276,50,263.532305
548.100934,50,263.703305
203.673551,50,263.8163
646.411929,50,263.916299
425.747411,50,264.004302
714.155359,50,264.086303
387.391319,50,264.1753
404.150556,50,264.263307
615.887595,50,264.392339
440.041017,50,264.597869
608.614581,50,264.773868
233.097753,50,264.936873
345.050261,50,265.031868
508.931493,50,265.215875
570.799792,50,265.540871
320.426965,50,265.78187
537.992109,50,265.953869
396.732792,50,266.209872
409.440654,50,266.473869
567.62078,50,266.627871
282.933346,50,266.732866
395.330322,50,266.833867
467.759157,50,266.916875
697.172948,50,267.004867
654.817134,50,267.131871
453.084729,50,267.305872
549.352831,50,267.413867
589.502342,50,267.517871
745.578492,50,267.603875
524.083215,50,267.692868
628.233377,50,267.802868
565.631695,50,267.900872
355.873012,50,267.982866
455.437247,50,268.064875
230.186696,50,268.150869
259.24411,50,268.253867
409.765188,50,271.303891
609.368928,50,271.415892
554.101393,50,271.514889
285.286256,50,271.621888
366.613985,50,271.727895
511.946478,50,271.826886
631.724009,50,271.91689
514.856754,50,272.003887
805.772814,50,272.09189
662.418448,50,272.182888
597.449203,50,272.285891
721.970852,50,272.377888
267.976095,50,272.460888
653.952271,50,272.554891
725.561138,50,272.679891
436.130888,50,272.805887
282.916346,50,272.894886
439.499786,50,272.97889
472.145654,50,273.062886
228.72947,50,273.152892
442.91858,50,273.251891
694.088217,50,273.347889
495.106987,50,273.442885
666.506278,50,273.528893
468.458273,50,273.61989
595.949831,50,273.737901
470.788432,50,273.928892
773.845613,50,274.110891
209.681916,50,274.209888
447.054731,50,274.407895
503.58858,50,274.560889
361.061943,50,274.673892
822.360589,50,274.89189
334.300929,50,275.02589
690.631484,50,275.132894
629.316357,50,275.274891
756.982805,50,275.411889
478.559669,50,275.536892
753.699449,50,276.070889
707.354787,50,276.190888
248.902221,50,276.316888
649.340539,50,281.439034
493.263021,50,281.561039
654.330607,50,281.68104
416.103021,50,281.842034
593.480198,50,282.028039
468.346527,50,282.270035
346.026504,50,282.474037
524.513205,50,282.692036
573.260318,50,282.848036
544.796049,50,283.006037
362.159807,50,283.173037
582.966289,50,283.35404
288.919712,50,283.52804
494.16704,50,283.659038
405.886942,50,283.799036
342.128984,50,283.920038
212.229862,50,284.038037
404.103489,50,284.198043
618.613185,50,284.32404
444.739748,50,284.428038
416.133324,50,284.524037
409.38747,50,284.629038
322.06073,50,284.751037
581.325103,50,284.884039
502.73853,50,285.008039
481.18446,50,285.124039
318.138126,50,285.234037
470.445308,50,285.337039
537.438783,50,285.439035
564.249716,50,285.539039
598.132356,50,285.639035
634.164028,50,285.779037
310.746274,50,285.893036
531.684134,50,285.992037
725.719258,50,286.097039
563.292812,50,286.292038
448.266914,50,286.439038
506.409502,50,286.538041
455.685724,50,286.739038
557.460874,50,287.496039
361.08711,50,287.883035
574.93573,50,294.629642
260.431139,50,294.735641
541.467745,50,294.834643
475.032441,50,294.934643
660.063619,50,295.033638
532.608582,50,295.125639
505.016024,50,295.21464
670.686,50,295.311642
565.898387,50,295.411644
292.675046,50,295.505643
325.510029,50,295.598642
500.080025,50,295.696648
716.53412,50,295.798643
509.376995,50,295.922643
256.666387,50,296.012642
421.585248,50,296.108647
518.028325,50,296.204643
523.218984,50,296.299644
457.914828,50,296.40664
321.48016,50,296.524644
333.444826,50,296.627642
945.963539,50,296.816644
645.086581,50,296.952638
580.752969,50,297.106643
290.721172,50,297.241642
422.910537,50,297.386644
163.437669,50,297.556641
780.296595,50,297.730644
484.551927,50,297.857641
386.164144,50,298.101644
597.049214,50,299.232641
839.107913,50,303.269711
539.140086,50,303.80371
244.202465,50,304.119708
402.610401,50,304.396712
585.246523,50,304.594712
402.665794,50,304.874713
493.262505,50,304.999713
637.412467,50,305.110712
347.562802,50,305.239712
378.775005,50,305.370708
202.184622,50,308.704735
682.262639,50,308.800735
182.413656,50,308.899735
329.69913,50,309.004732
513.450076,50,309.102734
501.277174,50,309.194734
622.28212,50,309.294732
1136.346926,50,309.386733
498.261431,50,309.475735
485.237642,50,309.580733
518.579414,50,309.677732
561.620425,50,309.770743
416.222651,50,309.863735
643.237994,50,309.964737
460.530247,50,310.061736
470.806089,50,310.156739
509.052069,50,310.244733
627.981739,50,310.342733
193.460135,50,310.439737
701.085903,50,310.526738
694.046159,50,310.616742
486.794331,50,310.707737
497.711779,50,310.816738
402.195004,50,310.916735
588.93172,50,311.015733
586.592712,50,311.107735
700.575035,50,311.198742
619.135069,50,311.291735
738.652135,50,311.401739
488.767057,50,311.498741
396.187588,50,311.589739
383.294901,50,311.678736
670.442237,50,311.779735
307.14491,50,311.909738
562.798804,50,312.003734
482.402839,50,312.101738
515.44128,50,312.193732
533.687804,50,312.290739
304.454775,50,312.388742
498.755194,50,312.484735
503.967781,50,312.573732
148.557171,50,315.596736
