#{"t_start": 1753906836.8329315, "env_id": "None"}
r,l,t
831.251522,50,184.960825
509.891095,50,185.125819
354.31864,50,185.295822
710.262939,50,185.445822
522.189657,50,185.599853
648.780288,50,186.097851
232.067174,50,186.289819
370.740611,50,186.446824
149.80437,50,186.616856
483.123678,50,186.783819
222.826621,50,186.927824
847.268305,50,187.088822
474.171912,50,187.267818
157.61871,50,187.41282
366.950862,50,187.56282
629.488027,50,187.734826
646.448938,50,187.883818
382.859635,50,188.026822
581.642211,50,188.203818
530.728246,50,188.353819
560.785283,50,188.502822
426.167616,50,188.654819
540.20017,50,188.803818
702.997478,50,188.951826
720.793499,50,189.104845
795.559684,50,189.285845
394.735114,50,189.44385
591.695924,50,189.602849
608.030891,50,189.764852
581.990818,50,189.937846
502.175891,50,190.113844
570.576563,50,190.282846
403.937449,50,190.42885
468.43381,50,190.592675
387.853207,50,190.76168
500.70714,50,190.919672
382.27897,50,191.064681
551.979292,50,191.236674
266.047036,50,191.390677
546.198903,50,191.974674
421.489292,50,192.48568
386.667653,50,192.957676
491.283615,50,193.430673
484.910608,50,193.83268
348.853673,50,193.994673
523.143706,50,194.16368
565.186125,50,194.349672
257.337151,50,194.502672
627.628434,50,194.670682
393.631713,50,194.847676
527.012363,50,195.008677
948.619,50,195.185672
300.097003,50,195.355442
738.015613,50,195.528442
547.557685,50,195.731441
573.83288,50,195.948445
499.819147,50,196.169448
371.08268,50,196.425445
738.225506,50,196.650443
537.682497,50,196.835442
314.325315,50,196.998444
561.312662,50,197.181448
469.529181,50,197.41344
865.117325,50,197.606443
628.804494,50,197.778445
731.503327,50,197.94444
678.31339,50,198.10845
676.685261,50,198.281439
845.499259,50,198.444442
561.547441,50,198.593441
310.167051,50,198.768684
381.005676,50,198.924688
289.89881,50,199.109684
421.644587,50,199.288689
638.22021,50,199.453686
418.924609,50,199.611688
805.444604,50,199.785685
148.496094,50,199.947689
452.377691,50,200.140688
382.648704,50,200.313694
922.604327,50,200.474689
618.624531,50,200.635693
668.979425,50,200.80669
466.858962,50,200.979687
276.625722,50,201.149689
288.427409,50,201.321689
692.796379,50,201.492688
559.39556,50,201.667691
427.307569,50,201.836683
327.500299,50,202.000685
583.913606,50,202.168688
801.765756,50,202.334684
428.610816,50,202.496685
480.317772,50,202.660688
495.324379,50,202.829694
461.589299,50,202.986688
803.964541,50,203.159688
140.425943,50,203.360686
429.398456,50,203.543686
503.643536,50,203.746689
693.008205,50,203.904695
534.881606,50,204.07369
339.205742,50,204.25869
493.929817,50,204.409686
412.000126,50,204.571684
483.254919,50,204.746687
392.922782,50,204.900687
497.819586,50,205.053691
455.129675,50,205.227684
537.301597,50,205.413688
626.075802,50,205.577687
729.899885,50,205.750687
463.866139,50,205.916687
632.244884,50,206.075689
754.842398,50,206.254684
446.544625,50,206.415686
419.044353,50,206.575688
870.790934,50,206.763687
584.110449,50,206.926685
387.525095,50,207.090686
666.428354,50,207.262686
310.450218,50,207.417687
600.882509,50,207.57872
540.620247,50,207.747689
242.683487,50,207.910687
253.663349,50,208.071685
610.974003,50,208.254685
667.242856,50,208.423685
204.902223,50,208.590719
540.967627,50,208.765688
814.076617,50,208.930686
528.95766,50,209.129721
578.713921,50,209.307722
533.424576,50,209.479693
850.51912,50,209.667689
559.669667,50,209.831692
415.186845,50,209.995695
646.353001,50,210.171692
545.218903,50,210.341691
383.651498,50,210.494719
537.17213,50,210.682697
388.727449,50,210.849689
337.206164,50,211.010685
439.788569,50,211.180688
470.906273,50,211.346691
259.635028,50,211.514688
588.585765,50,211.701687
449.902137,50,211.868693
414.703315,50,212.052688
450.789489,50,212.252686
540.391525,50,212.443693
579.424956,50,212.602686
438.714945,50,212.782688
478.3832,50,212.939683
563.630482,50,213.113727
356.398053,50,213.288684
359.855711,50,213.439684
405.287009,50,213.602709
500.51421,50,213.778718
453.503686,50,213.938685
501.594438,50,214.110686
490.655123,50,214.278686
213.454116,50,214.434688
539.880952,50,214.592687
520.602563,50,214.766689
440.088764,50,214.927684
538.433249,50,215.095726
411.29184,50,215.284685
694.415059,50,215.445685
474.827437,50,215.609684
513.114395,50,215.793684
439.642236,50,215.949682
456.375079,50,216.103686
398.876833,50,216.277687
620.690602,50,216.433683
590.403849,50,216.591685
561.35278,50,216.760716
662.813335,50,216.909684
646.536261,50,217.05469
638.405838,50,217.221713
519.505537,50,217.372721
904.081583,50,217.521686
615.182844,50,217.709685
303.33233,50,217.872684
355.221019,50,218.020685
631.705673,50,218.186686
452.866622,50,218.342687
261.767001,50,218.493688
885.058988,50,218.647684
504.230091,50,218.802692
350.860433,50,218.959693
500.859392,50,219.11269
368.169131,50,219.335693
569.960349,50,219.541687
593.116532,50,219.726722
443.523627,50,219.885688
671.823909,50,220.038692
780.272477,50,220.224686
452.085889,50,220.391685
456.162224,50,220.547686
780.997464,50,220.717688
281.495163,50,220.872686
584.556561,50,221.040686
546.419572,50,221.213687
464.875502,50,221.360686
405.432201,50,221.500685
583.019791,50,221.656687
349.226869,50,221.813693
456.982495,50,221.97069
564.466894,50,222.132689
313.149707,50,222.303684
918.350391,50,222.449684
403.466719,50,222.592688
499.36853,50,222.758686
