#{"t_start": 1753905059.3717554, "env_id": "None"}
r,l,t
227.324983,50,186.218955
435.871921,50,186.33879
319.424226,50,186.467612
251.685532,50,186.588576
333.196716,50,186.717637
449.614485,50,186.833674
239.24402,50,186.948797
574.040724,50,187.060036
339.015023,50,187.185133
420.578394,50,187.28714
309.108523,50,187.397135
550.597886,50,187.511462
519.116545,50,187.630468
261.0,50,187.761575
502.71765,50,187.91501
322.539406,50,188.05601
401.054165,50,188.224598
381.164574,50,188.399724
567.1917,50,188.57874
274.711296,50,188.750055
518.465394,50,188.917332
323.68167,50,189.026244
310.93819,50,189.145859
330.359929,50,189.265777
266.3,50,189.444589
334.704624,50,189.60134
335.518991,50,189.761332
575.796292,50,189.971587
282.747608,50,190.16466
395.488189,50,190.314942
226.903629,50,190.793403
424.35074,50,191.011558
297.533616,50,191.317517
285.046737,50,191.531505
611.088332,50,191.742133
386.011763,50,191.87942
380.808494,50,192.028416
334.219613,50,192.159978
443.995977,50,192.276034
447.871243,50,192.397152
590.626356,50,192.539252
438.647575,50,192.667254
259.6,50,192.788283
305.842368,50,192.915255
280.728437,50,193.036322
510.503054,50,193.161319
260.9,50,193.292317
187.0,50,193.438236
320.574442,50,193.569024
353.99643,50,193.74823
413.443157,50,193.933332
419.211066,50,194.076891
695.222306,50,194.341158
618.761075,50,194.499621
784.629077,50,194.642794
502.940191,50,194.793794
333.974179,50,194.960203
384.341405,50,195.103412
423.328246,50,195.249948
293.947993,50,195.391167
307.501681,50,195.556783
369.637453,50,195.676388
102.8,50,195.801465
312.222836,50,196.85354
312.9149,50,197.503578
529.241343,50,198.721683
512.642336,50,198.916645
159.793083,50,199.075215
228.6,50,199.22976
261.0,50,199.450746
295.064179,50,200.205162
416.251333,50,200.694412
374.762229,50,200.931927
238.020183,50,201.183619
682.218605,50,201.71769
339.589325,50,202.042066
293.763451,50,202.513059
335.493004,50,202.894372
646.690289,50,203.209775
519.593209,50,203.531736
243.6,50,203.788714
420.555838,50,203.979736
320.659629,50,204.234046
310.766382,50,204.511375
323.915931,50,204.779869
578.927591,50,205.045872
260.9,50,205.327866
289.901903,50,205.638455
388.743397,50,206.064382
673.360536,50,206.404229
336.54929,50,206.654788
366.978058,50,206.951357
320.977144,50,207.246623
416.962023,50,207.510677
361.269003,50,207.738672
350.266275,50,208.031736
256.029821,50,208.328609
228.5,50,208.611966
505.228004,50,208.910514
252.0,50,209.190697
727.123854,50,209.479286
442.471133,50,209.78044
830.7754,50,210.097705
548.656574,50,210.414044
178.5,50,210.718502
350.43268,50,211.045346
670.466669,50,211.353564
598.785512,50,211.639032
506.009807,50,212.005681
201.8,50,212.526381
540.269516,50,212.844941
259.5,50,213.174775
271.3,50,213.518728
260.4,50,213.817185
152.605593,50,214.106988
198.5,50,214.42046
512.724227,50,214.761678
272.484668,50,215.077808
704.518859,50,215.394938
437.39172,50,215.605493
177.705244,50,215.830848
363.477792,50,216.116106
417.351178,50,216.403392
444.010681,50,216.742741
305.95372,50,217.036836
446.288139,50,217.303881
350.880636,50,217.56997
357.953887,50,217.796664
410.190183,50,217.990421
508.711995,50,218.183725
228.7,50,218.51756
540.074148,50,218.809325
185.565126,50,219.108407
350.897151,50,219.357514
821.731514,50,219.605415
234.3,50,219.90884
258.9,50,220.236871
296.899734,50,220.576053
500.933679,50,220.958607
295.567565,50,221.325696
434.241486,50,221.671181
617.664212,50,222.413955
269.836237,50,223.15052
236.058806,50,223.847647
406.547255,50,224.643304
399.404328,50,224.938438
229.649287,50,225.20192
258.8,50,225.44051
707.522324,50,225.734624
507.828351,50,226.028959
323.33842,50,226.309906
256.0,50,226.576147
352.136549,50,226.901111
